Perfil,Oficinas de AMAGI,Computador,Costo Unitario ($)
Administrador de Bases de Datos I,Si,Si, 333.00 
Administrador de Bases de Datos II,Si,Si, 11.92 
Administrador de Bases de Datos III,Si,Si, 333.00 
Administrador de Plataformas Distribuidas I,Si,Si, 6.64 
Administrador de Plataformas Distribuidas II,Si,Si, 11.92 
Administrador de Plataformas Distribuidas III,Si,Si, 333.00 
Administrador de Telecomunicaciones I,Si,Si, 6.78 
Administrador de Telecomunicaciones II,Si,Si, 11.92 
Administrador de Telecomunicaciones III,Si,Si, 25.00 
Gerente de Proyectos Especiales I,Si,Si, 333.00 
Gerente de Proyectos Especiales II,Si,Si, 17.66 
Gerente de Proyectos Especiales III,Si,Si, 333.00 
Gerente de Monitoreo y HelpDesk I,Si,Si, 18.76 
Gerente de Monitoreo y HelpDesk II,Si,Si, 333.00 
Gerente de Monitoreo y HelpDesk III,Si,Si, 333.00 
Soporte Técnico I,Si,Si, 4.85 
Soporte Técnico II,Si,Si, 5.87 
Soporte Técnico III,Si,Si, 333.00 
Coordinador de Plataformas Distribuidas,Si,Si, 19.35 
Coordinador de Producción TI ,Si,Si, 17.15 
Lider Centro de Gestion,Si,Si, 10.55 
Lider de Monitoreo,Si,Si, 10.55 
Lider operadores del NOC,Si,Si, 7.85 
Operador Monitoreo,Si,Si, 4.85 
Operador NOC,Si,Si, 4.85 
Seguridad III,Si,Si, 25.00 
Supervisor Operadores del NOC,Si,Si, 5.87 
Supervisor Monitoreo,Si,Si, 5.87 
Dashboard Mensual CiberSeguridad,No,No," 2,000.00 "
Dashboard Mensual TIC,No,No," 1,500.00 "
Dashboard Mensual PMO,No,No," 1,500.00 "
Dashboard Mensual IoT,No,No," 1,500.00 "
Administrador de Plataformas Centralizadas I,No,No, 25.00 
Administrador de Plataformas Centralizadas II,No,No, 15.00 
Administrador de Plataformas Centralizadas III,No,No, 77.00 
Perfil Futuro,No,No, 333.00 